Date,Average percentage viewed (%)
2023-05-27,12.15
2023-05-28,1.42
2023-05-29,1.19
2023-05-30,9.56
2023-05-31,1.47
2023-06-01,15.69
2023-06-02,21.68
2023-06-03,18.19
2023-06-04,18.43
2023-06-05,28.24
2023-06-06,31.93
2023-06-07,28.12
2023-06-08,25.43
2023-06-09,34.41
2023-06-10,28.65
2023-06-11,38.6
2023-06-12,25.34
2023-06-13,17.74
2023-06-14,26.15
2023-06-15,6.45
2023-06-16,12.83
2023-06-17,36.78
2023-06-18,3.45
2023-06-19,3.7
2023-06-20,70.78
2023-06-21,
2023-06-22,21.55
2023-06-23,10.91
2023-06-24,22.4
2023-06-25,0
2023-06-26,2.68
2023-06-27,3.04
2023-06-28,0
2023-06-29,99.9
2023-06-30,0
2023-07-01,0
2023-07-02,0
2023-07-03,2.01
2023-07-04,18.24
2023-07-05,3.82
2023-07-06,0
2023-07-07,0
2023-07-08,0
2023-07-09,9.54
2023-07-10,21.23
2023-07-11,4.43
2023-07-12,5.09
2023-07-13,0
2023-07-14,5.54
2023-07-15,6.8
2023-07-16,2.12
2023-07-17,0
2023-07-18,5.92
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,24.66
2023-07-24,21.9
2023-07-25,0
2023-07-26,8.88
2023-07-27,1.08
2023-07-28,6.52
2023-07-29,13.61
2023-07-30,17.97
2023-07-31,19.75
2023-08-01,1.46
2023-08-02,6.2
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,43.76
2023-08-08,36.51
2023-08-09,18.84
2023-08-10,23.83
2023-08-11,29.64
2023-08-12,34.15
2023-08-13,38.46
2023-08-14,25.38
2023-08-15,32.29
2023-08-16,25.13
2023-08-17,22.04
2023-08-18,14.29
2023-08-19,23.12
2023-08-20,14.63
2023-08-21,21.53
2023-08-22,20.1
2023-08-23,71.96
2023-08-24,99.88
