Date,Geography,Views
2023-05-27,AU,0
2023-05-28,AU,0
2023-05-29,AU,0
2023-05-30,AU,0
2023-05-31,AU,0
2023-06-01,AU,0
2023-06-02,AU,0
2023-06-03,AU,20
2023-06-04,AU,0
2023-06-05,AU,18
2023-06-06,AU,0
2023-06-07,AU,0
2023-06-08,AU,0
2023-06-09,AU,0
2023-06-10,AU,0
2023-06-11,AU,0
2023-06-12,AU,0
2023-06-13,AU,0
2023-06-14,AU,0
2023-06-15,AU,0
2023-06-16,AU,0
2023-06-17,AU,0
2023-06-18,AU,0
2023-06-19,AU,0
2023-06-20,AU,0
2023-06-21,AU,0
2023-06-22,AU,0
2023-06-23,AU,0
2023-06-24,AU,0
2023-06-25,AU,0
2023-06-26,AU,0
2023-06-27,AU,0
2023-06-28,AU,0
2023-06-29,AU,0
2023-06-30,AU,0
2023-07-01,AU,0
2023-07-02,AU,0
2023-07-03,AU,0
2023-07-04,AU,0
2023-07-05,AU,0
2023-07-06,AU,0
2023-07-07,AU,0
2023-07-08,AU,0
2023-07-09,AU,0
2023-07-10,AU,0
2023-07-11,AU,0
2023-07-12,AU,0
2023-07-13,AU,0
2023-07-14,AU,0
2023-07-15,AU,0
2023-07-16,AU,0
2023-07-17,AU,0
2023-07-18,AU,0
2023-07-19,AU,0
2023-07-20,AU,0
2023-07-21,AU,0
2023-07-22,AU,0
2023-07-23,AU,0
2023-07-24,AU,0
2023-07-25,AU,0
2023-07-26,AU,0
2023-07-27,AU,0
2023-07-28,AU,0
2023-07-29,AU,0
2023-07-30,AU,0
2023-07-31,AU,0
2023-08-01,AU,0
2023-08-02,AU,0
2023-08-03,AU,0
2023-08-04,AU,0
2023-08-05,AU,0
2023-08-06,AU,0
2023-08-07,AU,0
2023-08-08,AU,0
2023-08-09,AU,0
2023-08-10,AU,12
2023-08-11,AU,0
2023-08-12,AU,0
2023-08-13,AU,0
2023-08-14,AU,0
2023-08-15,AU,0
2023-08-16,AU,0
2023-08-17,AU,0
2023-08-18,AU,0
2023-08-19,AU,0
2023-08-20,AU,0
2023-08-21,AU,0
2023-08-22,AU,0
2023-08-23,AU,0
2023-08-24,AU,0
2023-05-27,BR,0
2023-05-28,BR,0
2023-05-29,BR,0
2023-05-30,BR,15
2023-05-31,BR,0
2023-06-01,BR,0
2023-06-02,BR,0
2023-06-03,BR,0
2023-06-04,BR,0
2023-06-05,BR,0
2023-06-06,BR,0
2023-06-07,BR,0
2023-06-08,BR,0
2023-06-09,BR,0
2023-06-10,BR,0
2023-06-11,BR,0
2023-06-12,BR,0
2023-06-13,BR,0
2023-06-14,BR,0
2023-06-15,BR,0
2023-06-16,BR,0
2023-06-17,BR,0
2023-06-18,BR,0
2023-06-19,BR,0
2023-06-20,BR,0
2023-06-21,BR,0
2023-06-22,BR,0
2023-06-23,BR,0
2023-06-24,BR,0
2023-06-25,BR,0
2023-06-26,BR,0
2023-06-27,BR,0
2023-06-28,BR,0
2023-06-29,BR,0
2023-06-30,BR,0
2023-07-01,BR,0
2023-07-02,BR,0
2023-07-03,BR,0
2023-07-04,BR,0
2023-07-05,BR,0
2023-07-06,BR,0
2023-07-07,BR,0
2023-07-08,BR,0
2023-07-09,BR,0
2023-07-10,BR,0
2023-07-11,BR,0
2023-07-12,BR,0
2023-07-13,BR,0
2023-07-14,BR,0
2023-07-15,BR,0
2023-07-16,BR,0
2023-07-17,BR,0
2023-07-18,BR,0
2023-07-19,BR,0
2023-07-20,BR,0
2023-07-21,BR,0
2023-07-22,BR,0
2023-07-23,BR,0
2023-07-24,BR,0
2023-07-25,BR,0
2023-07-26,BR,0
2023-07-27,BR,0
2023-07-28,BR,0
2023-07-29,BR,0
2023-07-30,BR,0
2023-07-31,BR,0
2023-08-01,BR,0
2023-08-02,BR,0
2023-08-03,BR,0
2023-08-04,BR,0
2023-08-05,BR,0
2023-08-06,BR,0
2023-08-07,BR,0
2023-08-08,BR,0
2023-08-09,BR,0
2023-08-10,BR,0
2023-08-11,BR,0
2023-08-12,BR,0
2023-08-13,BR,0
2023-08-14,BR,0
2023-08-15,BR,0
2023-08-16,BR,0
2023-08-17,BR,0
2023-08-18,BR,0
2023-08-19,BR,0
2023-08-20,BR,0
2023-08-21,BR,0
2023-08-22,BR,0
2023-08-23,BR,0
2023-08-24,BR,0
2023-05-27,CA,0
2023-05-28,CA,21
