Traffic source,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
Total,27952,3.86,1465,0:01:18,31.9894
Browse features,18180,4.8,1085,0:01:24,25.325
Channel pages,2828,4.74,167,0:00:31,1.4776
Suggested videos,6701,0.9,95,0:01:33,2.4736
Other YouTube features,,,52,0:01:19,1.1451
Direct or unknown,,,36,0:01:19,0.7937
External,,,10,0:00:44,0.1226
YouTube search,141,5.67,9,0:01:05,0.1629
Playlists,37,5.41,5,0:03:25,0.2847
Notifications,,,4,0:01:25,0.0948
Playlist page,65,1.54,2,0:03:16,0.1094
